Inicial,,,Fase 0,,,Fase 1,,,Fase 2,,,Fase 3,,,Fase 4,,
Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Tiempo total
574560.0,4.098899989912752e-05,286922.99929389264,574560.0,3.6256946280000193,43508335536.00023,574560.0,0.17394766200004597,2087371944.0005517,574540.0,0.04319282300002669,259156938.00016016,574540.0,1.010132583000086,6060795498.000516,574540.0,0.15958625199982635,1117103763.9987843,5.040925148000042
574540.0,3.9635000121052144e-05,277445.000847365,572288.0,3.633847587999753,43606171055.99704,572436.0,0.16534456299996236,1984134755.9995484,572436.0,0.04693507399997543,281610443.9998526,572436.0,1.015074727999945,6090448367.99967,572436.0,0.41991786100015815,2519507166.000949,5.309729241000241
572436.0,6.317699990177061e-05,379061.9994106237,572436.0,3.6483908909999627,43780690691.99955,572436.0,0.1637766990002092,1965320388.0025103,572420.0,0.04336755999975139,260205359.99850836,572420.0,1.0135106439997799,6081063863.998679,572420.0,0.13309191300004386,798551478.0002632,5.031759838999733
572420.0,4.3801999709103256e-05,262811.99825461954,572408.0,3.6593291600001976,43911949920.00237,572404.0,0.21019225600002756,2522307072.0003304,572404.0,0.04469389099995169,268163345.99971014,572404.0,1.010692296000343,6064153776.002058,572404.0,0.2013655139999173,1258534462.499483,5.1565826930000185
572404.0,4.541600037555327e-05,272496.0022533196,572404.0,3.653404783000042,43840857396.0005,572404.0,0.16346278600030928,1961553432.0037115,572388.0,0.04443434599988905,266606075.99933428,572372.0,1.0099993049998375,6059995829.999024,572372.0,0.14253223600007914,997725652.000554,5.0431556410003395
572372.0,3.927099987777183e-05,274896.9991444028,572372.0,3.6471312989997386,43765575587.996864,572624.0,0.16456470499997522,1974776459.9997027,572624.0,0.044825168999977905,268951013.99986744,572624.0,1.0089619939999466,6053771963.99968,572624.0,0.1273620279998795,891534195.9991565,5.021849776999716
572624.0,3.911500016329228e-05,273805.00114304596,572624.0,3.6241205360001914,43489446432.0023,572624.0,0.16454241000019465,1974508920.0023358,572600.0,0.04321480699991298,259288841.9994779,572600.0,1.0103482690001329,6062089614.000797,572600.0,0.19871660400031033,1192299624.001862,5.070735171000251
572600.0,8.937500024330802e-05,536250.0014598481,572584.0,4.908999788000074,58907997456.000885,573592.0,0.17518158500024583,2102179020.00295,573592.0,0.044028954000168596,264173724.00101158,573592.0,1.0107368880003378,6064421328.002027,573592.0,0.11900543899992044,833038072.999443,6.28725202600026
573592.0,5.369700011215173e-05,375879.0007850621,573584.0,3.721276599000248,44655319188.002975,573584.0,0.1710667529996499,2052801035.9957988,573576.0,0.048813888000040606,292883328.00024366,573576.0,1.0142483639997408,6085490183.998445,573576.0,0.14732017400001496,1031241218.0001047,5.13123915999995
573576.0,3.828099988822942e-05,267966.9992176059,573568.0,3.7990657770001235,45588789324.00148,573568.0,0.16457344099990223,1974881291.9988267,573560.0,0.043335268999726395,260011613.99835837,573560.0,1.01074689699999,6064481381.99994,573560.0,0.28069393599980685,1684163615.998841,5.327176200999929
573560.0,4.286400007913471e-05,257184.00047480827,573560.0,3.709650066999984,44515800803.99981,573560.0,0.16727696899988587,2007323627.9986303,573544.0,0.043134343000019726,258806058.00011835,573544.0,1.0124220779998723,6074532467.999233,573544.0,0.15583450999974957,935007059.9984974,5.118319831000008
573544.0,4.4583000089915004e-05,267498.00053949,573536.0,3.678981692999969,44147780315.999626,573536.0,0.1657758780002041,1989310536.0024493,573528.0,0.04446195699983946,266771741.99903676,573528.0,1.0168444900000395,6101066940.000237,573528.0,0.18684469999971043,1121068199.9982626,5.123421621000034
573528.0,6.624900015594903e-05,397494.0009356942,573520.0,3.680959186999644,44171510243.99573,573512.0,0.16383567299999413,1966028075.9999297,573512.0,0.043330052999863256,259980317.99917954,573512.0,1.013361410000016,6080168460.000095,573512.0,0.19230373800019152,1153822428.0011492,5.123488801000349
573512.0,4.5155999941925984e-05,270935.9996515559,573504.0,3.677878526999848,44134542323.99818,573504.0,0.16427650199966592,1971318023.995991,573496.0,0.04311898200012365,258713892.0007419,573496.0,1.0104578079999555,6062746847.999733,573496.0,0.4029289090003658,2417573454.002195,5.328999569000189
573496.0,4.3801999709103256e-05,262811.99825461954,573488.0,3.669106482999723,44029277795.99667,573480.0,0.16492003800021848,1979040456.002622,573476.0,0.04329062000033446,259743720.00200674,573476.0,1.0126484059996983,6075890435.99819,573476.0,0.1912654019997717,1338857813.9984019,5.109942711999793
573476.0,4.031200023746351e-05,282184.00166224455,573468.0,3.6647638529998403,43977166235.998085,573468.0,0.16728263000004517,2007391560.0005422,573460.0,0.04412804200001119,264768252.00006714,573460.0,1.0117637039998044,6070582223.998827,573460.0,0.17701451700031612,1062087102.0018967,5.093999091000114
573460.0,4.4270000216783956e-05,265620.00130070373,573704.0,3.655030882999654,43860370595.99585,573700.0,0.1655186230000254,1986223476.0003047,573696.0,0.04349245299999893,260954717.9999936,573696.0,1.0115437399999792,6069262439.999875,573696.0,0.10396375800019086,727746306.0013361,5.008543300999918
573696.0,4.333299966674531e-05,303330.99766721716,573696.0,3.6532042920002823,43838451504.00339,573696.0,0.16889954399994167,2026794527.9993,573680.0,0.04360212500068883,261612750.004133,573680.0,1.010825496000507,6064952976.003042,573680.0,0.14154720200076554,990830414.0053588,5.047002190999592
573680.0,3.895800000464078e-05,272706.00003248546,573680.0,3.63528620300076,43623434436.00912,573664.0,0.16523762899942085,1982851547.99305,573664.0,0.044421639999200124,266529839.99520075,573664.0,1.012303234000683,6073819404.004098,573664.0,0.204478669999844,1431350689.9989078,5.09112673799973
573664.0,3.833299979305593e-05,268330.99855139153,573664.0,3.6211513670004933,43453816404.00592,573664.0,0.16780428899983235,2013651467.9979882,573648.0,0.04306482100037101,258388926.00222608,573648.0,1.012698941999588,6076193651.997528,573648.0,0.16136589699999604,1129561278.9999723,5.034864016000029
573648.0,3.9167000068118796e-05,274169.00047683157,573644.0,3.6112913609995303,43335496331.99436,574640.0,0.20082871000067826,2409944520.008139,574872.0,0.04380324300018401,262819458.00110406,574872.0,1.0919533140004205,6551719884.002523,574872.0,0.20100430000002234,1206025800.000134,5.177959900000133
574872.0,4.5415999920805916e-05,272495.9995248355,574864.0,3.677088671999627,44125064063.99552,574864.0,0.16671607799980848,2000592935.9977016,574856.0,0.043653636000271945,261921816.00163168,574856.0,1.0097394699996585,6058436819.997951,574856.0,0.2368970329998774,1480606456.2492337,5.163572975000534
574856.0,4.229099977237638e-05,296036.99840663467,575100.0,3.626255639000192,43515067668.002304,575848.0,0.1717264629996862,2060717555.9962342,575848.0,0.04366726900025242,262003614.0015145,575848.0,1.0117414830001508,6070448898.000905,575848.0,0.13653631800025323,955754226.0017726,5.018064183999741
575848.0,5.317700015439186e-05,372239.00108074304,575848.0,3.614132110000355,43369585320.004265,577452.0,0.17499379600030807,2099925552.0036967,569108.0,0.045161889999690175,270971339.99814105,569108.0,1.0111591459999545,6066954875.999727,569108.0,0.13969151099990995,977840576.9993696,5.014414414999919
569108.0,3.8905000110389665e-05,272335.00077272765,569352.0,5.043416579999757,60520998959.997086,571116.0,0.17005101799986733,2040612215.9984078,571108.0,0.046986223999738286,281917343.9984297,571108.0,1.0100003690004087,7070002583.002861,571108.0,0.1490771049993782,1043539734.9956474,6.448061906000476
571108.0,3.869800002576085e-05,270886.00018032594,571584.0,3.7732083419996343,45278500103.99561,571584.0,0.16538781300005212,1984653756.0006254,571568.0,0.04313924300004146,258835458.00024876,571568.0,1.0119664839994584,6071798903.996751,571568.0,0.08305724399997416,581400707.9998192,5.105998900000486
571568.0,4.130099932808662e-05,289106.9952966063,571804.0,3.7194603910002115,44633524692.00254,571804.0,0.1662691299998187,1995229559.9978242,571804.0,0.04332353400059219,259941204.00355315,571804.0,1.0107593499997165,6064556099.998299,571804.0,0.26903102500000386,1614186150.0000231,5.2388961169999675
571804.0,4.406199968798319e-05,264371.99812789913,571800.0,3.7233050540007753,33509745486.006977,571800.0,0.18784553200021037,2254146384.0025244,571784.0,0.04363703099988925,261822185.9993355,571784.0,1.0092165409996596,6055299245.997958,571784.0,0.12432608600011008,870282602.0007706,5.119826199999807
571784.0,3.85410003218567e-05,269787.0022529969,571784.0,3.6689090800000486,44026908960.00058,571784.0,0.16554350800015527,1986522096.0018632,571992.0,0.04316960999949515,259017659.9969709,571992.0,1.0109372840006472,6065623704.003883,571992.0,0.2761609180006417,1656965508.0038502,5.193874821999998
571992.0,4.468700080906274e-05,268122.0048543764,571992.0,3.674903051000001,44098836612.000015,571976.0,0.16572790300051565,1988734836.006188,571976.0,0.04386450499987404,263187029.99924427,571976.0,1.0128975020006692,6077385012.004015,571976.0,0.21094378699945082,1476606508.9961557,5.137861171000623
571976.0,4.140500004723435e-05,289835.00033064047,571976.0,3.6645304029998442,43974364835.99813,571976.0,0.16788644300049782,2014637316.0059738,571960.0,0.043365737999920384,260194427.9995223,571960.0,1.0095387609999307,6057232565.999584,571960.0,0.0828792299998895,497275379.999337,4.997788386000138
571960.0,4.3957999878330156e-05,307705.9991483111,571960.0,3.655663079000078,43867956948.00094,571944.0,0.16718798200054152,2006255784.0064983,571944.0,0.043338598999980604,260031593.99988362,571944.0,1.0100639330003105,6060383598.001863,571944.0,0.16501707900079055,1155119553.005534,5.069715999999971
571944.0,3.848899996228283e-05,269422.9997359798,572196.0,3.6292389929994897,43550867915.99387,572180.0,0.16551739500027907,1986208740.0033488,572180.0,0.04316904600000271,259014276.00001624,572180.0,1.009585311000592,6057511866.0035515,572180.0,0.11160067200034973,781204704.0024481,4.98771257899989
572180.0,3.984300019510556e-05,278901.0013657389,572180.0,3.6764441249997617,44117329499.99714,572180.0,0.16980195499945694,2037623459.9934833,572164.0,0.04466044299988425,267962657.99930552,572164.0,1.0095401700000366,6057241020.000219,572164.0,0.16936712599999737,1185569881.9999816,5.099255132000508
572164.0,3.9478999497077893e-05,276352.99647954525,572164.0,3.6226217920002455,43471461504.002945,572164.0,0.16595847199914715,1991501663.989766,572148.0,0.04413491099967359,264809465.99804157,572148.0,1.0125560899996344,6075336539.997807,572148.0,0.16064640100012184,963878406.000731,5.036136422999334
572148.0,4.406200059747789e-05,264372.00358486734,572400.0,3.6236550769999667,43483860923.9996,572384.0,0.16607817699969019,1992938123.9962823,572384.0,0.04419888400025229,265193304.00151375,572384.0,1.0107915850003337,6064749510.002003,572384.0,0.13530365000042366,947125550.0029656,5.0092946840004515
572384.0,4.124899987800745e-05,288742.99914605217,572628.0,3.6302206319996912,32671985687.997223,572620.0,0.18759069000043382,2251088280.005206,572620.0,0.04402111799936392,264126707.99618354,572620.0,1.0110578899993925,6066347339.996355,572620.0,0.09310350899977493,651724562.9984245,4.994860900000276
572620.0,4.052100030094152e-05,283647.00210659066,572620.0,3.6648086610002792,29318469288.002235,572620.0,0.17546655799924338,2105598695.9909205,572604.0,0.047544650999952864,285267905.9997172,572604.0,1.009086871999898,6054521231.999388,572604.0,0.10722442299993418,750570960.9995393,5.0350012260005315
